Date	HomeTeam	AwayTeam	FTHG	FTAG
12/8/2019	Denizlispor	Basaksehir	1	1
12/8/2019	Kasimpasa	Besiktas	2	3
12/9/2019	Kayserispor	Rizespor	1	0
12/13/2019	Alanyaspor	Antalyaspor	0	0
12/14/2019	Rizespor	Kasimpasa	0	3
12/14/2019	Genclerbirligi	Goztepe	3	1
12/14/2019	Galatasaray	Ankaragucu	2	2
12/15/2019	Gaziantep	Kayserispor	3	0
12/15/2019	Sivasspor	Fenerbahce	3	1
12/15/2019	Besiktas	Malatyaspor	0	2
12/16/2019	Basaksehir	Konyaspor	1	1
12/16/2019	Trabzonspor	Denizlispor	1	2
12/20/2019	Antalyaspor	Ankaragucu	2	2
12/21/2019	Malatyaspor	Rizespor	0	2
12/21/2019	Kasimpasa	Gaziantep	3	4
12/21/2019	Goztepe	Galatasaray	2	1
12/22/2019	Genclerbirligi	Sivasspor	2	2
12/22/2019	Kayserispor	Basaksehir	1	4
12/22/2019	Fenerbahce	Besiktas	3	1
12/23/2019	Denizlispor	Alanyaspor	1	5
12/23/2019	Konyaspor	Trabzonspor	0	1
12/27/2019	Besiktas	Genclerbirligi	4	1
12/28/2019	Ankaragucu	Denizlispor	2	2
12/28/2019	Basaksehir	Kasimpasa	5	1
12/28/2019	Trabzonspor	Kayserispor	6	2
12/28/2019	Galatasaray	Antalyaspor	5	0
12/29/2019	Sivasspor	Goztepe	1	0
12/29/2019	Alanyaspor	Konyaspor	2	1
12/29/2019	Gaziantep	Malatyaspor	1	1
12/29/2019	Rizespor	Fenerbahce	1	2
1/17/2020	Ankaragucu	Konyaspor	0	1
1/18/2020	Alanyaspor	Kayserispor	5	1
1/18/2020	Basaksehir	Malatyaspor	4	1
1/18/2020	Gaziantep	Fenerbahce	0	2
1/19/2020	Antalyaspor	Goztepe	0	3
1/19/2020	Galatasaray	Denizlispor	2	1
1/19/2020	Trabzonspor	Kasimpasa	6	0
1/19/2020	Besiktas	Sivasspor	1	2
1/20/2020	Rizespor	Genclerbirligi	2	0
1/24/2020	Genclerbirligi	Gaziantep	1	0
1/25/2020	Kayserispor	Ankaragucu	1	1
1/25/2020	Kasimpasa	Alanyaspor	1	2
1/25/2020	Fenerbahce	Basaksehir	2	0
1/26/2020	Denizlispor	Antalyaspor	0	3
1/26/2020	Goztepe	Besiktas	2	1
1/26/2020	Konyaspor	Galatasaray	0	3
1/27/2020	Sivasspor	Rizespor	1	1
1/31/2020	Basaksehir	Genclerbirligi	3	1
2/1/2020	Antalyaspor	Konyaspor	0	0
2/1/2020	Rizespor	Besiktas	1	2
2/1/2020	Trabzonspor	Fenerbahce	2	1
2/2/2020	Ankaragucu	Kasimpasa	1	1
2/2/2020	Alanyaspor	Malatyaspor	2	1
2/2/2020	Gaziantep	Sivasspor	5	1
2/2/2020	Galatasaray	Kayserispor	4	1
2/3/2020	Denizlispor	Goztepe	1	1
2/7/2020	Malatyaspor	Ankaragucu	0	1
2/8/2020	Konyaspor	Denizlispor	0	0
2/8/2020	Besiktas	Gaziantep	3	0
2/8/2020	Genclerbirligi	Trabzonspor	0	2
2/8/2020	Fenerbahce	Alanyaspor	1	1
2/9/2020	Kayserispor	Antalyaspor	2	2
2/9/2020	Sivasspor	Basaksehir	1	1
2/9/2020	Kasimpasa	Galatasaray	0	3
2/14/2020	Basaksehir	Besiktas	1	0
2/15/2020	Denizlispor	Kayserispor	0	1
2/15/2020	Konyaspor	Goztepe	1	3
2/15/2020	Ankaragucu	Fenerbahce	2	1
2/16/2020	Alanyaspor	Genclerbirligi	0	1
2/16/2020	Trabzonspor	Sivasspor	2	1
2/16/2020	Galatasaray	Malatyaspor	1	0
2/17/2020	Antalyaspor	Kasimpasa	3	1
2/17/2020	Gaziantep	Rizespor	2	0
2/21/2020	Sivasspor	Alanyaspor	1	0
2/22/2020	Kayserispor	Konyaspor	2	2
2/22/2020	Goztepe	Gaziantep	1	1
2/22/2020	Besiktas	Trabzonspor	2	2
2/23/2020	Malatyaspor	Antalyaspor	1	2
2/23/2020	Genclerbirligi	Ankaragucu	1	0
2/23/2020	Fenerbahce	Galatasaray	1	3
2/24/2020	Kasimpasa	Denizlispor	2	0
2/24/2020	Rizespor	Basaksehir	1	2
2/28/2020	Alanyaspor	Besiktas	1	2
2/29/2020	Konyaspor	Kasimpasa	0	0
2/29/2020	Trabzonspor	Rizespor	5	2
2/29/2020	Antalyaspor	Fenerbahce	2	2
3/1/2020	Denizlispor	Malatyaspor	2	0
3/1/2020	Ankaragucu	Sivasspor	0	3
3/1/2020	Galatasaray	Genclerbirligi	3	0
3/2/2020	Basaksehir	Gaziantep	3	1
3/2/2020	Kayserispor	Goztepe	1	0
3/6/2020	Besiktas	Ankaragucu	2	1
3/7/2020	Malatyaspor	Konyaspor	1	1
3/7/2020	Gaziantep	Trabzonspor	1	1
3/7/2020	Goztepe	Basaksehir	0	3
3/7/2020	Fenerbahce	Denizlispor	2	2
3/8/2020	Kasimpasa	Kayserispor	5	1
3/8/2020	Rizespor	Alanyaspor	1	1
3/8/2020	Sivasspor	Galatasaray	2	2
3/9/2020	Genclerbirligi	Antalyaspor	1	1
3/11/2020	Malatyaspor	Trabzonspor	1	3
3/13/2020	Ankaragucu	Rizespor	2	1
3/13/2020	Kasimpasa	Goztepe	2	0
3/14/2020	Denizlispor	Genclerbirligi	1	0
3/14/2020	Alanyaspor	Gaziantep	1	0
3/14/2020	Konyaspor	Fenerbahce	1	0
3/15/2020	Kayserispor	Malatyaspor	2	1
3/15/2020	Trabzonspor	Basaksehir	1	1
3/15/2020	Galatasaray	Besiktas	0	0
3/16/2020	Antalyaspor	Sivasspor	1	0
3/17/2020	Goztepe	Rizespor	2	0
6/12/2020	Fenerbahce	Kayserispor	2	1
6/12/2020	Goztepe	Trabzonspor	1	3
6/13/2020	Basaksehir	Alanyaspor	2	0
6/13/2020	Besiktas	Antalyaspor	1	2
6/13/2020	Malatyaspor	Kasimpasa	1	2
6/14/2020	Genclerbirligi	Konyaspor	2	1
6/14/2020	Gaziantep	Ankaragucu	1	1
6/14/2020	Rizespor	Galatasaray	2	0
6/15/2020	Sivasspor	Denizlispor	1	0
6/19/2020	Ankaragucu	Basaksehir	1	2
6/20/2020	Kayserispor	Genclerbirligi	2	0
6/20/2020	Denizlispor	Besiktas	1	5
6/20/2020	Malatyaspor	Goztepe	2	1
6/21/2020	Kasimpasa	Fenerbahce	2	0
6/21/2020	Galatasaray	Gaziantep	3	3
6/21/2020	Konyaspor	Sivasspor	2	2
6/22/2020	Alanyaspor	Trabzonspor	2	2
6/22/2020	Antalyaspor	Rizespor	3	1
6/26/2020	Besiktas	Konyaspor	3	0
6/27/2020	Fenerbahce	Malatyaspor	3	2
6/27/2020	Goztepe	Alanyaspor	3	3
6/27/2020	Trabzonspor	Ankaragucu	1	1
6/28/2020	Rizespor	Denizlispor	2	2
6/28/2020	Sivasspor	Kayserispor	0	2
6/28/2020	Basaksehir	Galatasaray	1	1
6/28/2020	Gaziantep	Antalyaspor	1	1
6/29/2020	Genclerbirligi	Kasimpasa	0	2
7/3/2020	Denizlispor	Gaziantep	0	1
7/4/2020	Ankaragucu	Alanyaspor	1	4
7/4/2020	Malatyaspor	Genclerbirligi	0	0
7/4/2020	Antalyaspor	Basaksehir	0	2
7/4/2020	Fenerbahce	Goztepe	2	1
7/5/2020	Kasimpasa	Sivasspor	0	0
7/5/2020	Galatasaray	Trabzonspor	1	3
7/5/2020	Konyaspor	Rizespor	1	0
7/6/2020	Kayserispor	Besiktas	3	1
7/7/2020	Genclerbirligi	Fenerbahce	1	1
7/7/2020	Basaksehir	Denizlispor	2	0
